Sentence,Labels Set,subategory,
બંન્ને કેવી ગાળો બોલે .. કોય ને સાથ ના આપતા..આપડે તો ખાલી જોવા થીજ મતલબ 😀😀😀😀😂😀😀😀😂😀😀😀😀😂😀😂😂😂😂😂😂👍👍👍,Non-Hate,Neutral,
જય જય ગરવી ગુજરાત,Non-Hate,Positive,
કચ્છમાં ખંડણી માટે ફાયરિંગ કરીને હત્યા નિપજાવાયાની આ પ્રથમ ઘટનાને પગલે પોલીસ તંત્ર દોડતું થઈ ગયું છે,Non-Hate,Neutral,
આજે સમગ્ર વિસ્તારમાં ઠંડકનો માહોલ જોવા મળ્યો હતો જેને લઈ ખેડુતોએ પણ આનંદ વ્યકત કર્યો હતો,Non-Hate,Positive,
પાટીદાર અનામત આંદોલનકારીઓએ હવે રાજય સરકાર સામે બાંયો ચડાવી છે,Non-Hate,Neutral,
કોવિડના સમય દરમ્યાન NCCના Cadet ની પણ ખૂબ સારી સમાજને મદદ અને પ્રવૃત્તિ દ્વારા આપણે આમાં સફળ થયાં છીએ.,Non-Hate,Positive,
સંનિષ્ઠ કામગીરી કરનાર ભરૂચ પોલીસને રૂપિયા પાંચ લાખનું ઇનામ આપી પ્રોત્સાહિત કરવા રાજય સરકારનો નિર્ણય,Non-Hate,Positive,
જનઆરોગ્ય સુવિધાની વૃદ્ધિ માટે સંવેદનાત્મક અભિગમ સાથે રાજ્ય સરકારનો મહત્વપૂર્ણ નિર્ણય,Non-Hate,Positive,
તમારા નેજા હેઠળ ગુજરાત મા હિંસા થઈ રહી છે.,Hate,Accusations,
બેરોજગારો ને રોજગાર આપો નહિ તો તમે બેરોજગાર થઈ જશો!!,Hate,Promoting violence,
મહેસાણાના વિજાપુર તાલુકામાં આવેલ વસાઈ પ્રાથમિક શાળામાં આજે શાળા પ્રવેશોત્સવ કાર્યક્રમ યોજાયો હતો,Non-Hate,Positive,
હૂં અધિકારીઓની આડોડાઈ નો શિકાર બન્યો છું નથી મારી નાંખતા કે નથી મરવા દેતાં,Hate,Promoting violence,
મરેલા ઓ નો દેશ છે અને ઠગો નું રાજ,Hate,Accusations,
"પ્રાઇવેટ સ્કૂલોની દાદાગીરી બંદ કરવો. સરકારીની સુવિધા વધારો ,કે નેતાઓની જ સ્કૂલો છે?",Hate,Accusations,
મારાં પાસે 22 yer નો અનુભવ હોવા છતાં પણ જોબ નથી,Non-Hate,Neutral,
"ગુંડા ગર્દી, નીચલી કક્ષા ની રાજનીતિ કરો છો, શરમ કરો શરમ , કાશ્મીર માં જૈશ ના લોકો હુમલો કરે ,અને ગુજરાત માં .એ લોકો માં ને તમારા માં બોવ જજો ફરક નથી",Hate,Accusations,
